company,official_url,linkedin_url,match_score,detail_page_slug,source,needs_review,review_reason
"Aalto Scientific, Ltd.- Audit MicroControls",https://www.aaltoscientific.com,,100.0,/co/aalto-scientific-ltd-audit-microcontrols,adlm_directory,no,
Abbott,https://www.corelaboratory.abbott/,,100.0,/co/abbott,adlm_directory,no,
Acro Biotech Inc.,https://www.acrobiotech.com,,100.0,/co/acro-biotech-inc,adlm_directory,no,
AFP,https://afplifesciences.com/,,100.0,/co/afp,adlm_directory,no,
Agilent Technologies,https://www.agilent.com/,,100.0,/co/agilent-technologies,adlm_directory,no,
Ahlstrom Filtration LLC,https://www.ahlstrom.com/products/medical-life-sciences-and-laboratory/,,100.0,/co/ahlstrom-filtration-llc,adlm_directory,no,
Akuratemp LLC,https://www.akuratemp.com/,https://www.linkedin.com/company/akuratemp-llc,100.0,/co/akuratemp-llc,adlm_directory,no,
Aladdin Scientific,https://www.aladdinsci.com,,100.0,/co/aladdin-scientific,adlm_directory,no,
"ALine, Inc.",https://www.alineinc.com/,,100.0,/co/aline-inc,adlm_directory,no,
Alltrista Plastics,https://alltrista.com,https://www.linkedin.com/company/alltristaplasticsllc,100.0,/co/alltrista-plastics,adlm_directory,no,
Alps Dx Inc.,http://alpsdx.com,https://www.linkedin.com/company/alps-dx,100.0,/co/alps-dx-inc,adlm_directory,no,
Aniara Diagnostica,http://www.aniara.com,,100.0,/co/aniara-diagnostica,adlm_directory,no,
"Ansh Labs, LLC",https://www.anshlabs.com,,100.0,/co/ansh-labs-llc,adlm_directory,no,
"Applied Biocode, Inc.",https://www.ApBioCode.com,,100.0,/co/applied-biocode-inc,adlm_directory,no,
Aptitude Medical Systems Inc.,https://www.aptitudemedical.com/,,100.0,/co/aptitude-medical-systems-inc,adlm_directory,no,
Arcmed Group,https://www.arcmedgroup.com,,100.0,/co/arcmed-group,adlm_directory,no,
Arete Biosciences,https://www.aretebiosciences.com/,,100.0,/co/arete-biosciences,adlm_directory,no,
Argonaut Manufacturing Services,https://www.argonautms.com,,100.0,/co/argonaut-manufacturing-services,adlm_directory,no,
ARKRAY,http://www.arkrayusa.com,,100.0,/co/arkray,adlm_directory,no,
Arlington Scientific Inc.,https://www.arlingtonscientific.com,,100.0,/co/arlington-scientific-inc,adlm_directory,no,
ARUP Laboratories,http://www.aruplab.com,,100.0,/co/arup-laboratories,adlm_directory,no,
ASSURE TECH LLC,http://www.assuretechusa.com,,100.0,/co/assure-tech-llc,adlm_directory,no,
ATS Life Sciences Systems,https://www.atslifesciences.com,,100.0,/co/ats-life-sciences-systems,adlm_directory,no,
Automata,https://automata.tech/,https://www.linkedin.com/company/automata-technologies/,100.0,/co/automata,adlm_directory,no,
"Awareness Technology, Inc.",https://www.awaretech.com,,100.0,/co/awareness-technology-inc,adlm_directory,no,
axiVEND microarrays,https://www.axivend.com,,100.0,/co/axivend-microarrays,adlm_directory,no,
"Bangs Laboratories, Inc.",https://www.bangslabs.com,,100.0,/co/bangs-laboratories-inc,adlm_directory,no,
BBS Automation -  Durr Group,https://www.bbsautomation.com,https://www.linkedin.com/company/bbs-automation-north-america,100.0,/co/bbs-automation-durr-group,adlm_directory,no,
BD,https://bd.com/vacutainer,,100.0,/co/bd,adlm_directory,no,
Beckhoff Automation,https://www.beckhoff.com/en-us/,https://www.linkedin.com/company/beckhoff-automation-usa/,100.0,/co/beckhoff-automation,adlm_directory,no,
"BioAssay Works, LLC",https://www.bioassayworks.com,,100.0,/co/bioassay-works-llc,adlm_directory,no,
"BioCheck, Inc.",https://www.biocheckinc.com,https://www.linkedin.com/company/biocheck-inc./,100.0,/co/biocheck-inc,adlm_directory,no,
"BIOLYPH, LLC",https://www.biolyph.com,,100.0,/co/biolyph-llc,adlm_directory,no,
bioMerieux,http://www.biomerieux.com,,100.0,/co/biomerieux,adlm_directory,no,
bioMerieux,http://www.biomerieux.com,,100.0,/co/biomerieux,adlm_directory,no,
